name,n_qubits,bandwidth,entanglement,n_samples,effective_rank,top_eigenvalue,off_diagonal_mean,rbf_correlation,rbf_gamma,geometric_difference,passes_conditioning,passes_distinctness,n_features,gram_seconds,selected_features
zz,8,0.25,linear,300,0.027884119332857567,0.3282035186942542,0.2817733782002671,0.8549304144262218,10.0,307.2992145133464,True,False,8,0.3679481440340169,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
zz,8,0.125,linear,300,0.012054995210272826,0.5924897284691133,0.554892514106931,0.9167681052921969,10.0,130.35278860482887,True,False,8,0.33383995800977573,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
zz,8,0.0625,linear,300,0.0064462951450275216,0.822647394812317,0.8079344912946508,0.9129977151611308,10.0,28.87938482837696,False,False,8,0.33297899196622893,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
zz,8,0.03125,linear,300,0.004463526116187009,0.9381740401206882,0.9336576038217459,0.9616813045286354,10.0,4.71487420190913,False,False,8,0.33907287003239617,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
zz,8,1.0,none,300,0.013776368908133708,0.5865463618038295,0.5474786566649378,0.6330580354663063,3.1622776601683795,251.7604425547328,True,False,8,0.16927396098617464,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
zz,8,0.5,none,300,0.010377282830785081,0.6259572205951416,0.5939095831907985,0.9874738834480713,1.467799267622069,118.89182226335168,True,False,8,0.16883931396296248,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
zz,8,0.25,none,300,0.005749644251646618,0.8666175980215546,0.8558447710095534,0.9896271950690758,1.467799267622069,20.46379477473028,False,False,8,0.17064309603301808,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
zz,8,0.125,none,300,0.004048322714922213,0.9643899501983083,0.9623165112436269,0.9991730500099748,1.0,2.562642150068666,False,False,8,0.17396888101939112,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
zz,8,0.0625,none,300,0.003551026523103966,0.99060524868072,0.9903855634099281,0.9999590012578214,1.0,1.3977324354697402,False,False,8,0.17427265999140218,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
zz,8,0.03125,none,300,0.0033984243696903805,0.9976019387881646,0.9975806781491978,0.9999975975201617,1.0,1.5795991883852853,False,False,8,0.1721336369519122,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
z,8,1.0,none,300,0.013776368908133708,0.5865463618038295,0.5474786566649378,0.6330580354663063,3.1622776601683795,251.7604425547328,True,False,8,0.18056410003919154,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
z,8,0.5,none,300,0.010377282830785081,0.6259572205951416,0.5939095831907985,0.9874738834480713,1.467799267622069,118.89182226335168,True,False,8,0.19613295700401068,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
z,8,0.25,none,300,0.005749644251646618,0.8666175980215546,0.8558447710095534,0.9896271950690758,1.467799267622069,20.46379477473028,False,False,8,0.16890367900487036,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
z,8,0.125,none,300,0.004048322714922213,0.9643899501983083,0.9623165112436269,0.9991730500099748,1.0,2.562642150068666,False,False,8,0.18418533098883927,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
z,8,0.0625,none,300,0.003551026523103966,0.99060524868072,0.9903855634099281,0.9999590012578214,1.0,1.3977324354697402,False,False,8,0.17639293801039457,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
z,8,0.03125,none,300,0.0033984243696903805,0.9976019387881646,0.9975806781491978,0.9999975975201617,1.0,1.5795991883852853,False,False,8,0.1721843540435657,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
dense_angle,4,1.0,linear,300,0.010668867212681033,0.5901091207298278,0.5583093173651559,0.9765736743532543,0.46415888336127775,119.43212356769611,True,False,8,0.15447137301089242,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
dense_angle,4,0.5,linear,300,0.006295441353984893,0.8233687003283845,0.8083930397925769,0.985598067271008,0.6812920690579608,20.77212496001189,False,False,8,0.12273325800197199,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
dense_angle,4,0.25,linear,300,0.004319485106251972,0.9453624405020576,0.9422279716166442,0.9784092465876937,0.6812920690579608,3.97228092448157,False,False,8,0.1292520480346866,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
dense_angle,4,0.125,linear,300,0.0036443873110103293,0.9849606260933248,0.9845527059705053,0.9761259918372758,0.6812920690579608,1.4278243300707134,False,False,8,0.125197098008357,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
dense_angle,4,0.0625,linear,300,0.0034279156779073493,0.996118789187057,0.9960795740582181,0.9748854558921676,1.467799267622069,1.5816694054915517,False,False,8,0.12317455100128427,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
dense_angle,4,0.03125,linear,300,0.0033613103480746673,0.9990231892587966,0.9990182408126764,0.974235847584218,4.6415888336127775,1.6416601762942826,False,False,8,0.1285499109653756,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
dense_angle,4,1.0,none,300,0.010845937651051223,0.49908063410405124,0.49083859566683374,0.8317988957752414,1.467799267622069,224.13302883023786,True,False,8,0.11460641998564824,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
dense_angle,4,0.5,none,300,0.0076632345307340735,0.7144660040246723,0.6899657324512334,0.9730748742767407,1.0,40.30721794388014,False,False,8,0.10148120095254853,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
dense_angle,4,0.25,none,300,0.0049213770375328885,0.9027000076276109,0.8969789632349445,0.9600448426368147,1.467799267622069,5.601304856480839,False,False,8,0.10129063198110089,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
dense_angle,4,0.125,none,300,0.00384617906805406,0.9725765418140726,0.9717756181810407,0.9562407541726443,1.467799267622069,1.3517978960972714,False,False,8,0.10468185704667121,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
dense_angle,4,0.0625,none,300,0.0034927891112510085,0.992824507707698,0.9927434827266884,0.9578549308622786,4.6415888336127775,1.5236921022613281,False,False,8,0.10672114201588556,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
dense_angle,4,0.03125,none,300,0.0033813291990026804,0.998182126604944,0.998172233611487,0.9571523227027366,10.0,1.6247435825445837,False,False,8,0.103004539036192,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
